arrival_time,from_floor,to_floor,mannerly,waiting,in_elevator
08:00:02.780,5,7,1,9.36,14.38
08:00:04.200,6,0,1,37.9,76.41
08:00:08.430,5,0,1,11.48,70.18
08:00:08.560,7,6,1,18.98,13.54
08:00:10.760,7,1,1,17.79,76.5
08:00:21.170,5,0,1,1.01,66.9
08:00:21.760,4,5,1,51.5,17.58
08:00:22.50,4,2,1,0.0,0.0
08:00:23.640,6,5,1,19.47,19.44
08:00:24.180,3,0,1,31.1,32.79
08:00:26.290,5,2,1,2.12,43.63
08:00:29.640,1,4,1,8.43,34.17
08:00:30.310,5,3,1,1.01,22.94
08:00:30.550,0,7,1,60.56,92.92
08:00:32.30,0,2,1,0.0,0.0
08:00:32.710,5,3,1,1.01,19.53
08:00:33.10,4,1,1,0.0,0.0
08:00:36.700,6,4,1,7.42,31.98
08:00:37.10,6,5,1,0.0,0.0
08:00:37.230,6,4,1,7.9,29.96
08:00:37.270,5,2,1,1.56,32.2
08:00:39.380,4,7,1,34.89,42.66
08:00:41.680,1,3,1,1.62,15.33
08:00:42.810,1,5,1,1.5,47.54
08:00:43.920,4,5,1,31.36,14.55
08:00:48.340,4,5,1,27.95,12.53
08:00:48.570,6,3,1,1.45,40.7
08:00:50.370,2,7,1,58.79,73.86
08:00:55.300,7,1,1,62.65,97.24
08:00:55.630,0,2,1,36.49,16.02
08:00:57.490,3,0,1,1.01,28.56
08:00:57.820,3,6,1,1.83,44.74
08:01:05.810,3,7,1,57.91,57.28
08:01:08.330,4,3,1,8.79,12.59
08:01:09.540,7,5,1,49.42,40.02
08:01:11.630,6,1,1,69.77,71.77
08:01:15.230,7,4,1,44.74,53.57
08:01:16.880,5,0,1,83.12,72.69
08:01:16.960,5,0,1,84.05,70.67
08:01:25.660,6,0,1,56.75,92.3
08:01:26.130,4,7,1,53.22,39.63
08:01:26.700,4,3,1,87.86,12.59
08:01:31.120,0,4,1,2.01,45.2
08:01:31.430,3,7,1,33.3,55.26
08:01:31.930,2,5,1,18.24,42.72
08:01:36.230,2,7,1,14.95,70.83
08:01:40.780,6,0,1,42.64,90.28
08:01:45.830,7,6,1,15.15,19.4
08:01:47.780,1,3,1,165.9,33.08
08:01:49.540,6,5,1,34.89,13.54
08:01:49.800,7,0,1,12.19,113.73
08:01:49.90,6,2,1,0.0,0.0
08:01:50.130,7,6,1,12.87,16.37
08:01:53.740,6,1,1,31.7,66.72
08:01:56.510,6,1,1,53.51,59.06
08:01:56.60,6,2,1,0.0,0.0
08:01:57.370,3,5,1,8.37,26.14
08:01:57.60,6,1,1,0.0,0.0
08:01:57.770,0,2,1,1.76,15.01
08:01:58.250,3,0,1,69.92,42.5
08:02:04.600,5,3,1,75.85,27.15
08:02:05.830,7,1,1,1.01,87.34
08:02:10.350,6,0,1,40.68,71.51
08:02:19.350,5,6,1,14.56,12.53
08:02:21.770,2,7,1,150.44,69.82
08:02:25.810,0,3,1,90.93,24.43
08:02:26.540,0,6,1,91.21,67.35
08:02:28.770,1,2,1,125.92,16.5
08:02:33.840,0,4,1,84.92,39.05
08:02:34.830,4,1,1,31.6,40.63
08:02:35.240,7,2,1,1.23,56.1
08:02:35.450,6,1,1,16.59,56.03
08:02:35.580,0,4,1,84.19,37.03
08:02:35.840,2,1,1,57.75,12.46
08:02:36.280,7,0,1,1.2,86.07
08:02:39.550,4,3,1,27.89,12.59
08:02:42.790,5,2,1,38.67,41.71
08:02:43.130,0,7,1,77.65,77.87
08:02:58.190,7,2,1,6.86,59.13
08:03:02.800,7,4,1,3.26,27.93
08:03:05.970,3,4,1,73.95,17.64
08:03:18.270,1,4,1,77.43,45.68
08:03:19.740,6,4,1,136.51,30.12
08:03:23.260,4,2,1,11.75,27.15
08:03:29.970,1,0,1,6.24,13.45
08:03:31.970,0,3,1,29.82,18.37
08:03:41.350,3,2,1,7.27,12.53
08:03:41.380,3,5,1,39.55,29.17
08:03:43.240,3,4,1,38.7,14.61
08:03:48.250,2,0,1,16.95,15.01
08:03:51.190,7,5,1,88.48,33.15
08:03:51.670,2,7,1,61.55,67.8
08:03:52.170,1,4,1,44.54,43.66
08:03:52.780,6,0,1,104.48,98.16
08:03:55.300,0,3,1,7.5,16.35
08:03:58.100,3,7,1,24.09,55.45
08:04:02.460,5,0,1,48.66,77.74
08:04:04.420,1,6,1,33.3,70.76
